Model,Accuracy,Precision,Recall,Sensitivity (Recall),Specificity,F1-Score
SVM,0.7809254013220018,0.9645641623224058,0.7809254013220018,0.436007512744835,0.7884426459580839,0.8586812605233253
k-NN,0.8897015480584886,0.9772705327517482,0.8897015480584886,0.8154011269117253,0.8913208738772455,0.925589952771605
XGBoost,0.8823532778206999,0.9771360438673516,0.8823532778206999,0.8180842500670781,0.8837539764221557,0.9212280351944208
